"nace","year","market_EU28"
1711,2011,68631710.166024
1711,2012,65875558.72478
1711,2013,67157919.716916
1711,2014,66058465.326329
1711,2015,71876274.383848
1711,2016,72867065.47266
1712,2005,423206574.239974
1712,2006,456452120.6454
1712,2007,469335122.132544
1712,2008,470885587.013624
1712,2009,393338744.889979
1712,2010,451540108.499002
1712,2011,475640154.595207
1712,2012,461756851.020318
1712,2013,448224718.2
1712,2014,450846178.700239
1712,2015,457238910.593608
1712,2016,441350752.880514
1721,2005,286912096.237564
1721,2006,295948467.4333
1721,2007,380337217.5582
1721,2008,360538461.697126
1721,2009,278879338.021065
1721,2010,307379724.495456
1721,2011,330722515.250828
1721,2012,328878087.175519
1721,2013,360220724.507532
1721,2014,331298575.026566
1721,2015,342753947.525352
1721,2016,359995661.928336
1722,2005,124450102.055384
1722,2006,124092720.422
1722,2007,131517528.581754
1722,2008,134773559.722184
1722,2009,129608327.96835
1722,2010,138514491.15475
1722,2011,144031242.45872
1722,2012,147027108.81425
1722,2013,146619645.238332
1722,2014,144284827.283534
1722,2015,149304985.73166
1722,2016,151760075.780142
1723,2005,55983689.568842
1723,2006,55903739.1473
1723,2007,57665320.146189
1723,2008,51326798.264442
1723,2009,44788767.882442
1723,2010,40760476.74924
1723,2011,41396338.659169
1723,2012,39565017.871449
1723,2013,38012894.233062
1723,2014,38720655.318618
1723,2015,37149894.091904
1723,2016,35570011.697376
1724,2005,7333247.610598
1724,2006,6987192.5794
1724,2007,7594786.216809
1724,2008,7563593.528716
1724,2009,3949655.347922
1724,2010,7486904.066094
1724,2011,7640010.853528
1724,2012,7878801.027195
1724,2013,7603725.884244
1724,2014,7058066.776649
1724,2015,6470087.45284
1724,2016,6344630.802174
1729,2005,71316319.996495
1729,2006,76495151.5889
1729,2007,74698397.314839
1729,2008,76025688.872036
1729,2009,70828657.603239
1729,2010,75462022.283958
1729,2011,76176063.677721
1729,2012,78504209.821324
1729,2013,81997901.7963
1729,2014,89045763.03385
1729,2015,87770371.978696
1729,2016,86128821.20778
1811,2005,27890289.923265
1811,2006,31262326.3106
1811,2007,30312119.71044
1811,2008,35560992.121962
1811,2009,27546206.728089
1811,2010,26834922.618382
1811,2011,26538605.485304
1811,2012,25161456.455212
1811,2013,23309795.955306
1811,2014,22371916.292712
1811,2015,18646430
1811,2016,19306403.007798
1812,2005,358817707.169292
1812,2006,362165232.8316
1812,2007,378891423.235548
1812,2008,424441087.27594
1812,2009,375209633.091566
1812,2010,366289841.791826
1812,2011,375082979.817886
1812,2012,356623731.115393
1812,2013,333039370.768314
1812,2014,331293893.449218
1812,2015,334782598.700352
1812,2016,349672407.617532
1813,2005,51751255.850287
1813,2006,62193461.1221
1813,2007,52754155.344621
1813,2008,60910781.803782
1813,2009,48125068.089243
1813,2010,46491560.01771
1813,2011,46845618.317124
1813,2012,44775747.783963
1813,2013,43321135.295508
1813,2014,43217787.464796
1813,2015,45559210.264744
1813,2016,43341835.062246
1814,2005,27069422.90458
1814,2006,26322097.2487
1814,2007,25971071.071392
1814,2008,28372747.236354
1814,2009,23971879.661822
1814,2010,25686821.78109
1814,2011,20843048.591254
1814,2012,19709020.503977
1814,2013,18355145.277462
1814,2014,18524584.10054
1814,2015,19142484.706576
1814,2016,18030021.18603
1820,2005,92502714.803947
1820,2006,131028094.6337
1820,2007,144358240.307112
1820,2008,34351416.915916
1820,2009,20912728.917241
1820,2010,19228406.406962
1820,2011,17152980.39025
1820,2012,13614977.879048
1820,2013,11627217.67746
1820,2014,10664625.744003
1820,2015,11561189.362888
1820,2016,10741587.343548
1910,2005,0
1910,2006,2539174.6083
1910,2007,3204541.589508
1910,2008,2343352.980408
1910,2009,2280972.837575
1910,2010,2690941.862048
1910,2011,3292105.644998
1910,2012,3047642.865673
1910,2013,2725377.820242
1910,2014,2633968.728048
1910,2015,2528329.112276
1910,2016,2457211.459044
2011,2005,0
2011,2006,43808211.7693
2011,2007,48104549.586459
2011,2008,58467235.444762
2011,2009,45812776.319962
2011,2010,50935500.125668
2011,2011,50362424.466233
2011,2012,53424232.664558
2011,2013,54263344.78425
2011,2014,52149342.47586
2011,2015,51629480.965524
2011,2016,49165976.721078
2012,2005,0
2012,2006,79500452.8153
2012,2007,79116544.255635
2012,2008,74085025.591394
