kurstype	valuta	tid	Månedsgennemsnit	
Valutakurser (DKK pr. 100 enheder valuta)	Amerikanske dollar  (Jan. 1979-)	2009M02	582.8800
Valutakurser (DKK pr. 100 enheder valuta)	Amerikanske dollar  (Jan. 1979-)	2009M03	571.4559
Valutakurser (DKK pr. 100 enheder valuta)	Amerikanske dollar  (Jan. 1979-)	2009M04	565.0058
Valutakurser (DKK pr. 100 enheder valuta)	Amerikanske dollar  (Jan. 1979-)	2009M05	546.9911
Valutakurser (DKK pr. 100 enheder valuta)	Amerikanske dollar  (Jan. 1979-)	2009M06	531.9305
Valutakurser (DKK pr. 100 enheder valuta)	Amerikanske dollar  (Jan. 1979-)	2009M07	528.5630
Valutakurser (DKK pr. 100 enheder valuta)	Amerikanske dollar  (Jan. 1979-)	2009M08	521.7495
Valutakurser (DKK pr. 100 enheder valuta)	Amerikanske dollar  (Jan. 1979-)	2009M09	511.1914
Valutakurser (DKK pr. 100 enheder valuta)	Amerikanske dollar  (Jan. 1979-)	2009M10	502.4491
Valutakurser (DKK pr. 100 enheder valuta)	Amerikanske dollar  (Jan. 1979-)	2009M11	498.9676
Valutakurser (DKK pr. 100 enheder valuta)	Amerikanske dollar  (Jan. 1979-)	2009M12	508.6925
Valutakurser (DKK pr. 100 enheder valuta)	Amerikanske dollar  (Jan. 1979-)	2010M01	521.5515
Valutakurser (DKK pr. 100 enheder valuta)	Amerikanske dollar  (Jan. 1979-)	2010M02	543.9825
Valutakurser (DKK pr. 100 enheder valuta)	Amerikanske dollar  (Jan. 1979-)	2010M03	548.4943
Valutakurser (DKK pr. 100 enheder valuta)	Amerikanske dollar  (Jan. 1979-)	2010M04	555.1672
Valutakurser (DKK pr. 100 enheder valuta)	Amerikanske dollar  (Jan. 1979-)	2010M05	591.9022
Valutakurser (DKK pr. 100 enheder valuta)	Amerikanske dollar  (Jan. 1979-)	2010M06	609.5486
Valutakurser (DKK pr. 100 enheder valuta)	Amerikanske dollar  (Jan. 1979-)	2010M07	583.7186
Valutakurser (DKK pr. 100 enheder valuta)	Amerikanske dollar  (Jan. 1979-)	2010M08	577.9005
Valutakurser (DKK pr. 100 enheder valuta)	Amerikanske dollar  (Jan. 1979-)	2010M09	570.2582
Valutakurser (DKK pr. 100 enheder valuta)	Amerikanske dollar  (Jan. 1979-)	2010M10	536.5662
Valutakurser (DKK pr. 100 enheder valuta)	Amerikanske dollar  (Jan. 1979-)	2010M11	545.9864
Valutakurser (DKK pr. 100 enheder valuta)	Amerikanske dollar  (Jan. 1979-)	2010M12	563.8124
Valutakurser (DKK pr. 100 enheder valuta)	Amerikanske dollar  (Jan. 1979-)	2011M01	557.9995
Valutakurser (DKK pr. 100 enheder valuta)	Amerikanske dollar  (Jan. 1979-)	2011M02	546.2655
Valutakurser (DKK pr. 100 enheder valuta)	Amerikanske dollar  (Jan. 1979-)	2011M03	532.7548
Valutakurser (DKK pr. 100 enheder valuta)	Amerikanske dollar  (Jan. 1979-)	2011M04	516.7545
Valutakurser (DKK pr. 100 enheder valuta)	Amerikanske dollar  (Jan. 1979-)	2011M05	519.6457
Valutakurser (DKK pr. 100 enheder valuta)	Amerikanske dollar  (Jan. 1979-)	2011M06	518.6669
Valutakurser (DKK pr. 100 enheder valuta)	Amerikanske dollar  (Jan. 1979-)	2011M07	522.7638
Valutakurser (DKK pr. 100 enheder valuta)	Amerikanske dollar  (Jan. 1979-)	2011M08	519.4200
Valutakurser (DKK pr. 100 enheder valuta)	Amerikanske dollar  (Jan. 1979-)	2011M09	540.9346
Valutakurser (DKK pr. 100 enheder valuta)	Amerikanske dollar  (Jan. 1979-)	2011M10	543.3148
Valutakurser (DKK pr. 100 enheder valuta)	Amerikanske dollar  (Jan. 1979-)	2011M11	549.0132
Valutakurser (DKK pr. 100 enheder valuta)	Amerikanske dollar  (Jan. 1979-)	2011M12	564.2019
Valutakurser (DKK pr. 100 enheder valuta)	Amerikanske dollar  (Jan. 1979-)	2012M01	576.2405
Valutakurser (DKK pr. 100 enheder valuta)	Amerikanske dollar  (Jan. 1979-)	2012M02	562.2162
Valutakurser (DKK pr. 100 enheder valuta)	Amerikanske dollar  (Jan. 1979-)	2012M03	563.2709
Valutakurser (DKK pr. 100 enheder valuta)	Amerikanske dollar  (Jan. 1979-)	2012M04	565.0122
Valutakurser (DKK pr. 100 enheder valuta)	Amerikanske dollar  (Jan. 1979-)	2012M05	580.2058
Valutakurser (DKK pr. 100 enheder valuta)	Amerikanske dollar  (Jan. 1979-)	2012M06	593.1575
Valutakurser (DKK pr. 100 enheder valuta)	Amerikanske dollar  (Jan. 1979-)	2012M07	605.3909
Valutakurser (DKK pr. 100 enheder valuta)	Amerikanske dollar  (Jan. 1979-)	2012M08	600.4869
Valutakurser (DKK pr. 100 enheder valuta)	Amerikanske dollar  (Jan. 1979-)	2012M09	579.9055
Valutakurser (DKK pr. 100 enheder valuta)	Amerikanske dollar  (Jan. 1979-)	2012M10	574.8661
Valutakurser (DKK pr. 100 enheder valuta)	Amerikanske dollar  (Jan. 1979-)	2012M11	581.4818
